card_id,pokemon_name,pokedex_number,types,rarity,artist,image_url,community_score,llm_score,feature_bonus,final_cuteness,cuteness_tier,llm_reason
xy6-43,Togepi,175.0,Fairy,Common,HiRON,https://images.pokemontcg.io/xy6/43_hires.png,9.25,5.0,2.5,10.0,S,
mcd16-9,Togepi,175.0,Fairy,,HiRON,https://images.pokemontcg.io/mcd16/9_hires.png,9.25,5.0,2.5,10.0,S,
sm10-136,Togepi,175.0,Fairy,Common,Sekio,https://images.pokemontcg.io/sm10/136_hires.png,9.25,5.0,2.5,10.0,S,
sm10-131,Cleffa,173.0,Fairy,Uncommon,Shibuzoh.,https://images.pokemontcg.io/sm10/131_hires.png,9.15,5.0,2.5,9.8974,S,
sm12-146,Azurill,298.0,Fairy,Common,Asako Ito,https://images.pokemontcg.io/sm12/146_hires.png,9.0,5.0,2.5,9.7436,S,
xy1-87,Jigglypuff,39.0,Fairy,Common,Kanako Eo,https://images.pokemontcg.io/xy1/87_hires.png,9.25,5.0,2.0,9.4872,S,
dp2-93,Pichu,172.0,Lightning,Common,Yuka Morii,https://images.pokemontcg.io/dp2/93_hires.png,9.25,5.0,2.0,9.4872,S,
basep-35,Pichu,172.0,Lightning,Promo,Ken Sugimori,https://images.pokemontcg.io/basep/35_hires.png,9.25,5.0,2.0,9.4872,S,
mcd16-8,Jigglypuff,39.0,Fairy,,Kanako Eo,https://images.pokemontcg.io/mcd16/8_hires.png,9.25,5.0,2.0,9.4872,S,
det1-14,Jigglypuff,39.0,Fairy,Common,Framestore,https://images.pokemontcg.io/det1/14_hires.png,9.25,5.0,2.0,9.4872,S,
xy10-65,Jigglypuff,39.0,Fairy,Common,Midori Harada,https://images.pokemontcg.io/xy10/65_hires.png,9.25,5.0,2.0,9.4872,S,
sv8-70,Togepi,175.0,Psychic,Common,,https://images.pokemontcg.io/sv8/70_hires.png,9.25,5.0,2.0,9.4872,S,
me2pt5-80,Togepi,175.0,Psychic,Common,Yoko Hishida,https://images.scrydex.com/pokemon/me2pt5-80/large,9.25,5.0,2.0,9.4872,S,
dp4-88,Togepi,175.0,Colorless,Common,Ken Sugimori,https://images.pokemontcg.io/dp4/88_hires.png,9.25,5.0,2.0,9.4872,S,
ecard1-58,Pichu,172.0,Lightning,Rare,Atsuko Nishida,https://images.pokemontcg.io/ecard1/58_hires.png,9.25,5.0,2.0,9.4872,S,
ex2-20,Pichu,172.0,Lightning,Rare,Naoyo Kimura,https://images.pokemontcg.io/ex2/20_hires.png,9.25,5.0,2.0,9.4872,S,
ecard1-22,Pichu,172.0,Lightning,Rare Holo,Atsuko Nishida,https://images.pokemontcg.io/ecard1/22_hires.png,9.25,5.0,2.0,9.4872,S,
sm115-41,Jigglypuff,39.0,Fairy,Common,Mizue,https://images.pokemontcg.io/sm115/41_hires.png,9.25,5.0,2.0,9.4872,S,
ex7-50,Togepi,175.0,Colorless,Uncommon,Sumiyoshi Kizuki,https://images.pokemontcg.io/ex7/50_hires.png,9.25,5.0,2.0,9.4872,S,
dp7-45,Pichu,172.0,Lightning,Uncommon,Atsuko Nishida,https://images.pokemontcg.io/dp7/45_hires.png,9.25,5.0,2.0,9.4872,S,
neo4-56,Togepi,175.0,Colorless,Uncommon,Yuka Morii,https://images.pokemontcg.io/neo4/56_hires.png,9.25,5.0,2.0,9.4872,S,
si1-4,Togepi,175.0,Colorless,,Keiko Fukuyama,https://images.pokemontcg.io/si1/4_hires.png,9.25,5.0,2.0,9.4872,S,
sm8-133,Jigglypuff,39.0,Fairy,Common,Ken Sugimori,https://images.pokemontcg.io/sm8/133_hires.png,9.25,5.0,2.0,9.4872,S,
neo1-51,Togepi,175.0,Colorless,Uncommon,Naoyo Kimura,https://images.pokemontcg.io/neo1/51_hires.png,9.25,5.0,2.0,9.4872,S,
neo1-12,Pichu,172.0,Lightning,Rare Holo,Ken Sugimori,https://images.pokemontcg.io/neo1/12_hires.png,9.25,5.0,2.0,9.4872,S,
